C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/Alice im Wunderland.epub|Alice im Wunderland|L Carroll
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/alice-illustrated.epub|Alice's Adventures in Wonderland / Illustrated by Arthur Rackham. With a Proem by Austin Dobson|Lewis Carroll
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/animal.epub|An Immense World|Ed Yong
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/bible_luther1912.epub|Die Heilige Schrift|Luther-Übersetzung von 1912
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/bobiverse one.epub|Bobiverse 1: Ich bin viele|Dennis E. Taylor
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/Eyes of the Void.epub|Eyes of the Void (9780316705882)|Tchaikovsky, Adrian
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/mabuse.epub|Dr. Mabuse, der Spieler|Norbert Jacques
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/ohler.epub|Der totale Rausch|Norman Ohler
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/regression_test.epub|Regression Test Suite|microreader2 tests
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/sherlock-adventures.epub|The Adventures of Sherlock Holmes|Arthur Conan Doyle
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/Snow Crash - Neal Stephenson.epub|Snow Crash|Neal Stephenson
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/snow crash eng.epub|Snow Crash|Neal Stephenson
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/snow crash ger.epub|Snow Crash|Neal Stephenson
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/snow crash.epub|Snow Crash|Stephenson, Neal
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/The Dictators Handbook.epub|The Dictator's Handbook|Bruce Bueno de Mesquita
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/The Memory Police (Yoko Ogawa).epub|The Memory Police|Yoko Ogawa
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/war-and-peace.epub|War and Peace|graf Leo Tolstoy
C:/Users/Patrick/Desktop/microreader/microreader2/sd/books/[Bobiverse 01] � Ich bin viele (Taylor, Dennis E.) (Z-Library).epub|[Bobiverse 01] • Ich bin viele|Taylor, Dennis E.
